 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"130140 EIRUNEPE";2;-;-;6;4;21;23;24;18;25;33;24;23;33;38;29;32;26;23;25;34;31;29;24;14;19;27;587
"130150 ENVIRA";5;10;8;7;8;17;15;10;12;9;9;8;11;17;8;14;8;8;10;10;13;8;16;12;4;12;11;280
"130160 FONTE BOA";-;-;1;3;30;9;16;13;11;9;8;11;10;10;5;13;10;11;9;12;11;7;8;11;9;9;7;253
"130165 GUAJARA";4;3;4;1;3;6;4;3;3;10;6;4;4;7;7;7;5;4;5;1;3;4;3;4;5;6;4;120
"130170 HUMAITA";6;15;15;20;13;13;14;17;20;15;13;16;15;12;9;13;20;15;10;10;15;15;9;11;13;9;14;367
"130180 IPIXUNA";-;-;1;3;3;14;14;9;10;18;3;9;7;9;4;6;6;13;15;13;9;12;19;9;5;5;3;219
"130185 IRANDUBA";-;4;9;16;33;9;17;14;17;8;7;13;9;9;16;12;12;11;10;11;13;4;11;12;20;16;12;325
"130190 ITACOATIARA";35;45;62;51;39;37;28;25;50;34;47;22;28;42;36;33;27;26;23;28;23;36;16;38;28;27;22;908
"130195 ITAMARATI";5;3;9;2;1;9;10;12;11;6;7;5;4;2;2;3;4;2;3;3;4;5;2;7;5;3;5;134
"130200 ITAPIRANGA";3;3;5;2;-;-;2;2;-;3;2;1;1;2;2;3;4;1;-;1;2;2;-;4;1;3;1;50
"130210 JAPURA";-;-;-;-;-;1;2;8;4;3;3;3;3;3;2;1;5;3;2;2;3;2;2;6;1;1;3;63
"130220 JURUA";-;-;1;4;7;2;4;3;1;9;4;4;2;2;1;4;3;1;4;3;4;5;7;4;5;9;2;95
"130230 JUTAI";-;-;1;1;-;5;7;1;8;1;6;6;4;6;3;3;9;13;9;15;14;16;12;14;12;14;11;191
"130240 LABREA";30;6;2;4;8;6;3;3;13;16;21;16;22;25;11;19;19;13;14;13;20;10;17;15;16;13;16;371
"130250 MANACAPURU";17;21;31;53;45;50;64;43;35;17;40;41;24;33;38;30;28;21;31;32;33;22;31;14;23;23;29;869
"130255 MANAQUIRI";-;1;-;2;7;3;-;1;3;7;3;5;3;2;2;3;2;2;6;4;4;4;1;6;2;4;4;81
"130260 MANAUS";1282;1247;1321;1383;1212;970;869;796;628;674;655;592;606;591;541;544;560;638;593;558;506;559;534;524;477;487;472;19819
"130270 MANICORE";1;-;1;4;3;4;4;12;17;8;3;14;13;10;18;11;11;15;9;16;14;21;25;24;12;12;20;302
"130280 MARAA";-;-;-;-;4;11;10;10;2;4;7;5;10;7;10;7;4;6;4;7;2;8;4;3;6;11;4;146
"130290 MAUES";4;4;4;6;9;11;13;24;23;22;21;23;33;20;18;22;26;17;20;18;27;26;31;20;18;22;19;501
"130300 NHAMUNDA";12;7;6;3;5;1;4;7;5;5;3;2;1;4;4;4;1;6;15;9;9;6;9;10;3;1;8;150
"130310 NOVA OLINDA DO NORTE";1;-;6;5;19;10;16;7;8;14;10;8;4;12;12;13;8;13;12;8;12;10;13;14;14;4;14;267
"130320 NOVO AIRAO";-;4;2;5;16;3;10;5;9;6;5;4;10;5;4;7;2;-;6;5;2;5;3;3;4;7;4;136
"130330 NOVO ARIPUANA";3;5;-;2;3;3;7;4;8;4;7;6;8;9;6;2;6;4;4;8;1;4;8;14;3;11;7;147
"130340 PARINTINS";1;1;15;22;41;63;59;52;44;44;51;50;47;33;32;42;33;45;38;40;41;49;50;45;24;33;35;1030
"130350 PAUINI";-;-;-;2;3;1;7;10;6;4;16;10;11;7;6;6;10;7;5;8;6;8;4;11;6;8;12;174
"130353 PRESIDENTE FIGUEIREDO";2;3;10;9;10;2;6;5;6;6;8;5;10;4;5;5;5;8;13;6;7;5;8;9;12;9;6;184
"130356 RIO PRETO DA EVA";-;2;5;8;9;4;3;3;5;7;2;7;3;2;10;10;5;4;12;4;10;2;3;9;5;3;4;141
"130360 SANTA ISABEL DO RIO NEGRO";-;3;2;1;7;5;6;14;10;3;29;15;14;21;6;7;9;11;6;3;9;8;10;5;7;6;8;225
"130370 SANTO ANTONIO DO ICA";-;-;-;4;2;5;8;7;14;12;14;5;9;8;11;6;23;12;15;14;12;12;8;14;6;21;16;258
"130380 SAO GABRIEL DA CACHOEIRA";14;12;15;13;39;28;40;38;51;49;53;47;55;55;31;37;40;43;37;39;44;42;34;29;29;42;45;1001
"130390 SAO PAULO DE OLIVENCA";6;2;8;6;6;10;8;10;7;6;9;3;4;12;16;22;34;29;32;23;18;18;27;23;26;21;23;409
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;1;1;1;2;5;3;5;1;3;1;1;1;4;5;1;4;-;4;4;1;2;-;3;3;56
"130400 SILVES";-;5;3;3;4;5;2;4;2;5;1;2;4;4;3;3;5;6;3;2;2;2;4;5;3;1;6;89
"130406 TABATINGA";41;21;11;26;49;31;45;34;34;22;28;29;40;42;35;25;35;46;38;31;41;39;31;42;25;26;29;896
"130410 TAPAUA";8;6;9;5;7;11;12;9;6;4;13;7;1;8;4;4;10;9;2;10;8;12;10;5;1;7;7;195
"130420 TEFE";8;24;17;24;34;30;24;28;26;36;32;38;20;25;24;25;40;33;26;29;36;33;40;25;27;22;23;749
"130423 TONANTINS";-;-;-;-;11;5;9;9;4;2;9;8;2;-;-;-;5;5;5;6;5;7;8;3;7;9;8;127
"130426 UARINI";-;-;-;-;1;12;4;2;2;6;4;2;9;5;16;9;6;3;6;4;4;6;2;8;3;13;7;134
"130430 URUCARA";-;2;2;3;3;6;3;5;2;6;-;5;1;2;-;2;4;8;7;6;5;3;10;7;4;3;5;104
"130440 URUCURITUBA";1;3;2;2;5;7;4;12;3;4;5;4;2;6;-;1;4;3;2;4;1;6;3;3;4;4;6;101
" MUNICIPIO IGNORADO - RR";-;-;10;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;13
