 Óbitos infantis - Brasil
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2022
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"421230 PAULO LOPES";1;2;3;-;1;1;1;3;1;2;-;3;-;3;1;-;-;-;-;1;-;-;1;1;1;1;-;27
"421240 PEDRAS GRANDES";-;-;1;-;-;-;2;-;-;-;1;2;1;1;-;1;-;-;-;-;-;-;-;-;1;-;1;11
"421250 PENHA";4;2;6;4;6;6;7;1;6;2;2;3;3;7;2;4;4;2;5;6;2;2;5;-;6;-;3;100
"421260 PERITIBA";-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"421265 PESCARIA BRAVA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;2;1;4;-;-;9
"421270 PETROLANDIA";3;1;2;-;2;2;2;-;3;-;1;2;-;2;2;-;1;-;1;1;1;-;1;-;1;1;-;29
"421280 BALNEARIO PICARRAS";2;2;5;3;1;4;2;-;6;3;2;5;1;4;1;1;3;3;2;2;4;3;2;3;4;4;2;74
"421290 PINHALZINHO";2;2;3;4;2;2;2;2;4;3;3;4;4;1;1;4;2;2;3;2;3;2;3;2;2;3;1;68
"421300 PINHEIRO PRETO";-;-;1;-;2;1;-;-;-;-;-;-;2;1;-;-;1;1;-;-;-;1;-;-;-;-;-;10
"421310 PIRATUBA";2;1;2;-;-;1;-;-;-;2;-;-;-;1;1;1;-;-;1;-;1;-;1;2;-;3;2;21
"421315 PLANALTO ALEGRE";-;-;-;1;1;-;-;1;-;2;-;-;2;1;1;-;-;1;-;1;-;-;-;-;1;1;-;13
"421320 POMERODE";7;2;3;-;6;7;1;3;1;1;5;7;5;3;6;4;6;5;5;10;3;6;10;2;3;1;6;118
"421330 PONTE ALTA";2;4;5;3;2;6;4;6;3;2;4;3;-;1;2;-;1;-;1;-;1;3;-;-;1;1;1;56
"421335 PONTE ALTA DO NORTE";1;1;2;2;1;1;1;2;2;-;-;-;-;-;-;-;1;2;1;1;-;-;4;-;-;-;-;22
"421340 PONTE SERRADA";14;10;5;9;12;7;6;3;4;7;8;5;4;3;5;2;2;4;5;1;2;1;3;2;4;2;5;135
"421350 PORTO BELO";-;1;2;4;3;2;1;3;1;2;2;2;3;1;4;3;2;1;1;2;2;4;4;3;4;2;2;61
"421360 PORTO UNIAO";26;9;9;10;13;6;15;9;11;5;3;7;6;3;9;10;5;7;5;6;1;1;4;6;5;4;2;197
"421370 POUSO REDONDO";6;2;4;1;2;1;2;3;5;9;3;8;4;1;1;2;2;-;2;3;4;1;3;1;2;1;4;77
"421380 PRAIA GRANDE";3;2;1;2;3;1;2;3;3;3;1;3;2;1;1;4;-;1;1;1;-;-;-;-;2;-;2;42
"421390 PRESIDENTE CASTELLO BRANCO";-;-;1;1;-;-;1;-;-;-;1;-;-;1;-;-;1;-;-;-;-;1;-;-;-;-;-;7
"421400 PRESIDENTE GETULIO";5;7;3;4;1;2;1;4;4;3;2;3;1;2;2;4;3;2;3;1;-;3;1;3;1;1;5;71
"421410 PRESIDENTE NEREU";1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;6
"421415 PRINCESA";-;-;-;-;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;1;8
"421420 QUILOMBO";7;5;3;2;2;10;1;1;6;-;-;3;-;-;1;2;1;2;1;3;1;-;1;-;1;3;1;57
"421430 RANCHO QUEIMADO";-;-;1;1;1;1;-;1;-;-;1;-;-;-;-;1;-;2;2;1;1;-;-;2;-;-;-;15
"421440 RIO DAS ANTAS";1;2;1;-;1;2;2;3;-;1;4;-;1;-;1;-;1;-;-;1;-;-;1;-;1;2;-;25
"421450 RIO DO CAMPO";4;1;3;3;2;3;3;-;2;1;-;1;1;-;-;1;2;-;1;3;2;-;1;-;1;1;1;37
"421460 RIO DO OESTE";1;2;2;1;1;1;2;1;1;-;1;2;-;-;2;-;1;2;1;-;-;1;-;-;2;1;1;26
"421470 RIO DOS CEDROS";5;1;-;-;3;2;-;3;2;1;1;1;3;-;1;2;-;2;2;1;-;-;1;1;1;2;-;35
"421480 RIO DO SUL";17;18;10;20;11;9;15;11;14;8;14;16;10;14;2;9;13;14;5;6;9;12;6;3;2;14;8;290
"421490 RIO FORTUNA";3;-;1;1;1;-;-;-;-;1;1;1;-;3;-;-;1;-;-;1;-;-;1;-;-;-;1;16
"421500 RIO NEGRINHO";21;20;18;8;15;20;19;14;13;18;4;9;14;6;5;6;4;5;7;5;2;5;3;12;2;2;6;263
"421505 RIO RUFINO";1;-;2;2;1;1;-;-;1;-;2;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;13
"421507 RIQUEZA";2;1;2;2;-;-;1;-;-;2;-;1;1;1;-;1;-;-;-;-;-;-;-;1;-;2;-;17
"421510 RODEIO";1;1;1;-;1;4;1;2;2;-;-;-;2;1;1;2;-;-;-;1;-;2;2;3;-;2;-;29
"421520 ROMELANDIA";5;4;-;6;2;3;1;-;3;-;1;2;1;1;-;-;1;1;1;1;-;-;1;-;-;-;-;34
"421530 SALETE";3;3;1;4;3;-;-;4;2;1;-;1;2;-;1;1;1;3;2;1;1;2;-;1;1;1;1;40
"421535 SALTINHO";-;-;-;1;-;3;1;3;2;3;1;-;-;-;1;-;-;-;-;-;1;1;2;2;-;-;-;21
"421540 SALTO VELOSO";-;3;2;2;-;1;1;-;1;-;-;2;1;3;1;2;1;1;-;-;1;-;-;2;2;2;1;29
"421545 SANGAO";2;1;2;-;3;1;1;2;2;-;3;1;2;1;2;3;4;1;1;6;2;1;4;-;1;3;2;51
"421550 SANTA CECILIA";15;12;13;13;13;8;10;6;6;9;5;7;16;2;4;8;5;2;3;3;5;1;3;7;6;7;7;196
"421555 SANTA HELENA";2;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;8
"421560 SANTA ROSA DE LIMA";1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;1;-;-;-;1;-;1;-;-;8
"421565 SANTA ROSA DO SUL";2;-;3;1;1;4;-;-;1;-;2;1;-;-;2;-;-;3;-;1;2;2;2;1;1;1;1;31
"421567 SANTA TEREZINHA";2;3;7;3;8;-;2;1;2;2;3;3;2;1;1;2;-;-;1;2;-;1;-;-;2;-;1;49
"421568 SANTA TEREZINHA DO PROGRESSO";-;-;-;1;2;-;2;1;2;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;14
"421569 SANTIAGO DO SUL";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"421570 SANTO AMARO DA IMPERATRIZ";3;3;2;1;3;2;-;-;4;1;1;3;5;2;1;1;1;2;2;1;1;2;1;1;2;2;4;51
"421575 SAO BERNARDINO";-;1;-;-;-;1;2;1;-;-;-;-;1;-;-;-;2;-;-;1;1;-;1;-;-;-;-;11
"421580 SAO BENTO DO SUL";17;26;26;30;23;25;14;20;19;15;18;21;12;7;13;20;11;11;14;15;9;10;9;12;9;10;7;423
"421590 SAO BONIFACIO";2;2;-;-;1;-;-;-;-;-;2;1;-;-;-;-;-;-;-;1;-;-;-;1;1;1;-;12
"421600 SAO CARLOS";5;5;4;4;2;1;3;1;6;1;1;1;1;-;3;3;1;3;-;1;1;1;2;2;1;1;1;55
"421605 SAO CRISTOVAO DO SUL";-;1;-;1;1;3;3;1;1;5;4;1;-;2;1;1;1;-;5;-;2;-;-;2;-;-;1;36
"421610 SAO DOMINGOS";3;4;3;1;3;1;2;1;-;4;2;3;-;1;-;1;2;2;2;-;-;2;2;4;-;2;1;46
"421620 SAO FRANCISCO DO SUL";17;11;13;8;13;7;12;6;12;11;13;12;6;6;10;10;5;5;6;15;8;8;7;4;8;5;10;248
"421625 SAO JOAO DO OESTE";1;-;-;3;1;1;1;-;1;3;-;-;1;-;1;-;1;1;-;-;1;-;-;2;-;1;-;19
"421630 SAO JOAO BATISTA";-;3;2;-;2;1;2;5;-;6;1;4;3;3;7;4;1;7;6;6;6;6;3;5;4;5;4;96
"421635 SAO JOAO DO ITAPERIU";-;2;4;-;-;-;2;-;-;-;1;-;-;-;-;1;-;-;2;-;-;-;2;1;-;-;-;15
"421640 SAO JOAO DO SUL";4;1;1;-;2;2;1;1;2;1;-;1;-;-;1;1;-;-;2;1;-;-;-;2;2;2;-;27
"421650 SAO JOAQUIM";10;3;15;6;3;7;9;6;10;6;9;7;8;12;14;-;6;2;6;4;4;10;8;11;6;2;10;194
"421660 SAO JOSE";48;44;48;52;46;23;35;21;29;32;35;31;20;28;22;23;29;29;30;30;19;33;31;26;23;28;25;840
"421670 SAO JOSE DO CEDRO";5;2;6;7;6;5;2;2;3;1;2;-;3;1;1;1;1;2;-;1;4;1;1;1;1;1;1;61
"421680 SAO JOSE DO CERRITO";-;3;2;2;1;3;5;-;3;3;2;3;-;3;-;1;1;1;2;1;1;2;2;2;6;2;2;53
"421690 SAO LOURENCO DO OESTE";5;3;5;4;11;8;9;3;8;4;3;4;4;10;3;6;3;5;6;4;3;3;6;4;7;5;5;141
"421700 SAO LUDGERO";3;1;3;4;2;2;4;-;-;1;3;1;2;4;-;3;2;2;2;3;3;4;-;1;1;1;5;57
"421710 SAO MARTINHO";2;1;-;-;-;-;-;-;-;-;-;1;-;1;1;-;1;1;1;-;-;-;-;1;-;1;-;11
"421715 SAO MIGUEL DA BOA VISTA";-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;5
"421720 SAO MIGUEL DO OESTE";11;21;12;13;7;4;7;5;5;10;6;5;3;4;3;7;6;5;8;7;2;7;9;5;1;5;7;185
"421725 SAO PEDRO DE ALCANTARA";-;-;-;1;2;-;-;-;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6
"421730 SAUDADES";4;-;4;1;1;5;4;2;-;3;-;1;1;-;-;1;1;3;-;-;-;-;1;1;-;2;1;36
"421740 SCHROEDER";1;1;-;2;1;1;5;1;2;1;3;1;2;2;2;5;1;5;4;-;-;3;1;5;3;3;4;59
"421750 SEARA";14;7;6;8;1;2;4;4;2;4;-;2;1;2;1;2;2;1;-;3;3;2;-;2;4;1;6;84
"421755 SERRA ALTA";1;2;-;2;-;-;2;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;11
"421760 SIDEROPOLIS";1;1;2;4;6;2;-;-;2;-;1;1;1;-;2;2;2;-;2;1;-;3;2;2;6;-;-;43
"421770 SOMBRIO";6;2;2;6;8;11;10;4;4;5;5;3;2;4;4;4;2;3;2;9;6;5;4;3;4;4;2;124
"421775 SUL BRASIL";-;1;1;1;1;-;2;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;-;-;12
"421780 TAIO";6;5;7;6;8;1;2;-;4;3;3;2;2;5;4;2;8;2;2;1;2;5;2;2;-;4;3;91
"421790 TANGARA";-;5;4;3;3;3;2;2;3;2;1;3;1;-;-;-;-;1;1;-;3;-;2;2;2;1;-;44
"421795 TIGRINHOS";-;-;-;1;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;-;-;7
"421800 TIJUCAS";7;14;8;11;7;8;12;4;6;3;4;7;3;3;3;6;8;5;3;4;9;5;3;10;6;4;6;169
"421810 TIMBE DO SUL";-;3;-;-;2;1;1;2;1;1;-;1;-;3;1;-;-;1;1;-;1;1;-;-;-;-;-;20
"421820 TIMBO";5;11;2;7;4;10;5;3;6;2;2;4;4;2;9;5;4;2;2;6;3;1;8;9;2;5;3;126
"421825 TIMBO GRANDE";6;2;2;7;5;4;6;3;1;1;3;1;1;-;2;2;1;1;2;2;2;-;3;4;2;2;2;67
"421830 TRES BARRAS";12;11;13;9;11;6;5;4;10;8;6;7;1;1;6;1;3;4;7;3;3;3;2;1;4;4;7;152
"421835 TREVISO";-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;1;1;-;-;-;-;1;-;-;2;1;8
"421840 TREZE DE MAIO";2;3;1;-;1;2;-;2;-;2;1;1;1;-;-;1;1;1;-;-;2;-;2;-;1;2;-;26
"421850 TREZE TILIAS";2;2;-;-;3;-;4;1;2;4;-;-;1;4;-;-;2;-;-;1;1;-;-;-;-;2;1;30
"421860 TROMBUDO CENTRAL";5;3;3;1;1;5;2;3;-;2;-;-;2;1;1;2;-;3;1;2;1;2;-;1;-;1;-;42
"421870 TUBARAO";24;14;13;20;24;11;16;21;19;15;18;17;8;18;17;16;13;12;12;14;9;8;6;18;4;10;19;396
"421875 TUNAPOLIS";3;3;1;1;2;1;-;2;-;1;-;1;1;1;1;-;-;1;-;1;2;-;-;2;2;1;1;28
"421880 TURVO";3;3;5;4;3;1;1;6;3;2;2;5;1;3;2;6;1;1;1;2;2;3;3;5;2;1;1;72
"421885 UNIAO DO OESTE";-;2;2;-;-;2;2;1;-;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"421890 URUBICI";4;7;9;6;4;4;5;3;1;5;4;7;3;3;3;1;3;2;1;1;2;2;3;2;1;3;2;91
"421895 URUPEMA";1;1;-;1;2;-;-;-;-;2;-;2;1;1;-;-;-;-;-;-;-;2;-;1;-;2;2;18
"421900 URUSSANGA";4;5;5;4;3;2;4;2;2;5;4;4;3;3;2;4;2;1;2;5;1;3;3;-;2;1;1;77
"421910 VARGEAO";-;1;-;1;-;-;1;3;1;1;-;-;-;-;-;1;2;-;-;-;-;-;1;-;1;1;-;14
"421915 VARGEM";2;-;-;-;-;1;1;2;-;1;-;-;-;-;-;-;-;-;-;-;1;2;1;1;-;-;1;13
"421917 VARGEM BONITA";4;2;-;3;4;3;1;3;3;5;2;1;3;-;-;1;1;1;-;2;-;-;2;3;-;-;1;45
"421920 VIDAL RAMOS";2;3;1;2;2;-;3;4;1;-;-;2;-;2;2;-;1;1;-;-;-;1;-;-;2;1;1;31
"421930 VIDEIRA";16;22;15;15;17;11;13;8;9;13;11;9;6;8;9;10;7;4;10;12;5;9;3;6;9;6;6;269
"421935 VITOR MEIRELES";4;2;5;1;5;4;1;-;2;-;-;1;-;2;3;-;-;-;1;-;-;1;-;2;1;1;-;36
"421940 WITMARSUM";1;-;4;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;1;1;-;-;-;1;-;1;11
"421950 XANXERE";20;22;23;21;16;11;15;11;12;11;5;13;6;3;5;8;6;12;5;4;6;7;5;3;6;5;6;267
"421960 XAVANTINA";1;1;-;1;2;1;2;-;-;-;1;-;-;-;2;-;-;-;-;-;1;2;-;-;-;2;-;16
"421970 XAXIM";11;7;9;8;7;6;5;6;6;7;4;6;2;5;2;2;3;2;4;7;8;1;3;9;9;4;5;148
"421985 ZORTEA";-;-;1;1;-;-;2;1;-;2;1;-;-;1;-;1;-;-;-;1;1;-;-;2;-;1;1;16
"422000 BALNEARIO RINCAO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;3;1;3;2;4;1;3;4;24
"430003 ACEGUA";-;-;-;-;-;1;1;3;3;-;-;-;2;-;1;-;-;2;1;-;1;-;2;1;1;1;-;20
"430005 AGUA SANTA";-;-;-;2;-;-;1;1;1;-;-;1;-;-;-;1;-;1;-;-;3;-;-;1;1;1;-;14
"430010 AGUDO";2;3;4;4;5;5;6;2;-;2;4;2;5;3;2;-;2;4;3;2;-;-;-;1;1;1;4;67
"430020 AJURICABA";3;2;1;2;-;2;-;1;2;2;-;3;-;2;-;-;-;1;1;1;-;-;1;1;1;-;1;27
"430030 ALECRIM";2;1;3;-;-;-;4;-;-;2;2;2;2;-;1;-;-;1;2;-;-;-;1;-;1;-;-;24
"430040 ALEGRETE";28;21;24;31;35;21;18;11;23;17;15;11;9;18;13;12;8;8;6;11;9;12;7;8;6;10;9;401
"430045 ALEGRIA";1;-;-;1;-;-;2;-;2;1;1;-;1;-;-;1;-;1;-;-;1;-;-;-;-;-;-;12
"430047 ALMIRANTE TAMANDARE DO SUL";-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;5
"430050 ALPESTRE";2;2;2;7;4;1;1;-;-;1;2;2;-;1;1;-;-;1;1;-;-;-;1;1;1;-;1;32
"430055 ALTO ALEGRE";2;-;-;1;-;1;-;3;-;-;-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;11
"430057 ALTO FELIZ";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;3;-;1;-;-;1;-;-;1;-;9
"430060 ALVORADA";98;77;99;81;85;84;76;67;57;49;29;50;49;36;35;41;46;32;33;34;45;33;42;39;35;23;34;1409
"430063 AMARAL FERRADOR";1;1;2;-;1;4;3;-;-;1;1;4;2;-;1;3;-;1;1;1;-;-;4;-;-;1;-;32
"430064 AMETISTA DO SUL";1;1;1;-;2;3;2;3;1;2;1;1;5;1;1;2;1;-;-;-;-;2;2;1;2;1;-;36
"430066 ANDRE DA ROCHA";1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"430070 ANTA GORDA";1;1;2;1;-;-;-;-;-;-;1;2;-;-;1;2;1;-;-;-;-;1;-;-;1;-;-;14
"430080 ANTONIO PRADO";5;-;1;3;4;2;-;2;1;-;4;3;1;-;1;4;1;3;1;-;4;2;2;1;1;-;-;46
"430085 ARAMBARE";2;1;-;1;-;1;-;2;-;-;-;1;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;12
"430087 ARARICA";-;1;2;2;-;2;-;-;3;-;1;2;-;-;1;1;2;1;1;1;1;-;2;2;-;2;2;29
"430090 ARATIBA";2;1;-;1;2;-;1;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;1;-;-;-;12
"430100 ARROIO DO MEIO";2;7;1;4;1;3;3;1;-;-;1;1;3;2;1;5;1;-;2;1;1;6;1;2;5;2;4;60
"430105 ARROIO DO SAL";1;-;-;1;-;1;1;1;-;1;-;1;-;-;2;1;1;-;1;1;2;2;2;1;-;1;1;22
"430107 ARROIO DO PADRE";-;-;-;-;-;-;-;2;-;2;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;9
"430110 ARROIO DOS RATOS";-;5;2;4;7;3;3;4;1;2;2;3;5;2;-;3;3;2;-;4;6;1;2;3;1;2;1;71
"430120 ARROIO DO TIGRE";8;9;2;6;2;6;6;4;5;1;4;5;6;3;1;2;3;3;-;1;-;1;2;2;2;1;-;85
"430130 ARROIO GRANDE";10;10;8;7;4;6;9;2;9;2;6;3;4;1;1;2;2;5;-;5;2;1;1;3;-;3;4;110
"430140 ARVOREZINHA";2;4;4;2;3;-;3;1;3;4;2;1;1;1;1;2;1;1;-;3;1;1;3;2;1;2;4;53
"430150 AUGUSTO PESTANA";1;-;2;1;-;1;-;1;-;1;1;-;-;-;1;2;-;-;1;1;1;1;1;-;-;2;1;19
"430155 AUREA";-;1;1;2;-;-;-;3;-;-;-;1;1;2;-;-;-;1;2;-;-;-;1;-;-;-;-;15
"430160 BAGE";69;57;56;54;48;56;40;37;40;30;26;28;19;26;12;24;23;17;21;24;24;29;21;28;11;12;25;857
"430163 BALNEARIO PINHAL";-;-;1;2;3;-;2;1;-;1;-;3;1;1;2;1;5;3;4;1;2;-;1;3;1;-;3;41
"430165 BARAO";-;-;-;1;-;2;-;1;-;-;-;1;1;1;-;-;-;-;1;2;-;-;-;-;-;-;1;11
"430170 BARAO DE COTEGIPE";-;1;4;-;4;1;1;2;-;-;4;-;-;-;-;-;1;1;2;-;1;-;1;-;1;-;-;24
"430175 BARAO DO TRIUNFO";4;-;3;4;1;1;-;1;2;3;-;1;-;-;-;1;-;1;-;2;-;1;-;-;-;2;-;27
"430180 BARRACAO";3;2;3;2;-;1;1;3;2;2;-;2;-;-;-;1;1;-;-;1;-;-;2;1;-;-;-;27
"430185 BARRA DO GUARITA";-;2;1;-;-;-;-;-;1;1;-;2;1;-;-;-;-;-;1;-;-;1;1;-;-;-;-;11
"430187 BARRA DO QUARAI";-;1;1;-;1;2;2;-;-;2;1;2;5;-;-;2;-;3;-;-;-;1;-;1;-;1;2;27
"430190 BARRA DO RIBEIRO";2;2;5;3;1;3;2;2;-;1;2;-;1;-;-;1;1;2;2;1;1;3;1;3;2;-;2;43
"430192 BARRA DO RIO AZUL";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"430195 BARRA FUNDA";-;-;-;1;-;-;-;1;-;1;-;-;3;-;-;-;1;-;1;-;-;1;-;1;-;1;-;11
"430200 BARROS CASSAL";5;4;8;3;4;4;4;7;10;2;5;4;4;1;2;1;1;2;-;-;2;1;2;2;4;1;-;83
"430205 BENJAMIN CONSTANT DO SUL";-;-;-;2;1;1;-;-;-;1;-;-;1;-;-;1;1;-;-;-;-;-;1;2;-;1;-;12
"430210 BENTO GONCALVES";22;20;17;20;9;10;10;10;14;14;15;14;14;12;12;18;8;12;15;16;7;16;8;11;13;10;16;363
"430215 BOA VISTA DAS MISSOES";-;-;-;2;-;-;1;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;1;-;7
"430220 BOA VISTA DO BURICA";5;-;3;1;2;1;-;-;1;1;-;-;-;1;1;-;1;-;2;-;-;2;2;-;2;1;-;26
"430222 BOA VISTA DO CADEADO";-;-;-;-;-;-;1;1;-;-;-;2;1;1;-;-;-;-;1;-;1;1;1;-;-;1;1;12
"430223 BOA VISTA DO INCRA";-;-;-;-;-;-;3;-;1;-;-;2;-;1;-;-;-;-;-;-;-;1;-;-;1;-;1;10
"430225 BOA VISTA DO SUL";-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;2;-;-;-;-;-;1;-;1;-;-;-;7
"430230 BOM JESUS";8;3;6;5;2;6;2;3;6;5;2;2;1;1;3;2;3;-;-;2;-;2;2;2;4;2;2;76
"430235 BOM PRINCIPIO";1;1;3;2;2;1;1;-;1;2;-;2;5;2;3;2;3;1;1;2;1;2;-;1;1;2;2;44
"430237 BOM PROGRESSO";1;-;-;-;1;-;-;-;2;2;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;1;9
"430240 BOM RETIRO DO SUL";2;2;1;4;5;2;2;3;1;1;1;-;1;5;1;1;-;1;2;2;-;-;1;2;-;-;2;42
"430245 BOQUEIRAO DO LEAO";3;7;7;6;4;4;5;3;1;3;4;2;-;1;3;-;3;1;1;3;-;2;2;-;-;-;1;66
"430250 BOSSOROCA";4;-;1;2;1;3;5;1;2;2;1;2;2;2;1;2;-;-;-;1;-;1;-;-;2;-;1;36
"430258 BOZANO";-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;1;-;-;1;-;-;1;-;1;-;-;-;6
"430260 BRAGA";-;-;1;2;1;1;4;2;4;2;3;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;23
"430265 BROCHIER";-;1;-;-;-;1;-;-;2;1;2;1;-;-;-;1;-;-;-;-;-;1;-;1;-;-;1;12
"430270 BUTIA";9;10;9;8;3;5;8;3;3;4;4;-;8;2;4;2;-;1;1;2;1;3;2;3;1;3;2;101
"430280 CACAPAVA DO SUL";10;12;12;11;6;8;12;10;12;6;8;5;5;2;3;4;2;6;4;10;4;5;4;5;4;1;2;173
"430290 CACEQUI";10;8;7;6;7;2;5;3;1;4;5;3;3;2;2;2;2;2;1;3;-;1;-;1;3;1;-;84
"430300 CACHOEIRA DO SUL";31;27;33;20;13;19;15;13;11;22;18;22;19;9;16;13;14;6;8;10;13;7;16;12;6;11;14;418
"430310 CACHOEIRINHA";41;37;34;40;32;32;34;35;24;19;23;14;18;20;21;18;14;11;26;17;18;17;15;12;11;15;13;611
"430320 CACIQUE DOBLE";2;4;3;7;3;6;1;7;3;3;-;-;1;-;-;3;1;1;1;2;-;-;-;-;-;-;-;48
"430330 CAIBATE";-;6;-;2;2;1;1;1;-;-;-;1;-;1;1;1;-;-;-;1;-;-;2;-;1;-;1;22
"430340 CAICARA";2;2;3;3;-;3;3;3;2;2;-;-;-;-;-;1;-;1;-;-;1;1;-;-;-;1;1;29
"430350 CAMAQUA";21;26;20;18;19;15;16;12;25;12;11;16;9;5;9;9;8;12;9;5;6;14;9;7;8;8;11;340
"430355 CAMARGO";-;2;1;4;-;2;-;1;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;14
"430360 CAMBARA DO SUL";1;2;4;1;5;6;3;1;1;1;1;1;4;-;-;1;-;-;1;-;1;-;-;1;-;-;-;35
"430367 CAMPESTRE DA SERRA";-;-;1;-;-;-;-;1;-;1;-;2;-;2;-;-;-;-;-;-;-;-;-;-;1;1;1;10
"430370 CAMPINA DAS MISSOES";4;-;-;4;1;-;-;1;2;-;-;1;-;-;1;-;1;1;-;1;-;-;-;1;1;-;1;20
"430380 CAMPINAS DO SUL";1;2;1;2;-;-;-;4;-;-;1;-;1;-;-;-;1;-;-;-;1;-;-;3;1;-;-;18
"430390 CAMPO BOM";14;10;13;19;20;9;6;8;11;6;6;8;11;12;5;6;6;6;14;9;6;4;8;16;2;8;6;249
"430400 CAMPO NOVO";1;3;-;4;1;2;1;4;3;-;2;-;-;1;-;-;-;1;3;-;1;1;2;-;-;-;1;31
"430410 CAMPOS BORGES";-;-;-;2;1;2;1;-;1;-;2;-;1;1;-;1;1;2;-;1;-;1;1;-;-;-;-;18
"430420 CANDELARIA";6;10;7;14;13;5;6;7;11;9;10;3;9;3;1;8;-;8;7;5;6;5;1;4;3;3;7;171
"430430 CANDIDO GODOI";-;2;2;3;1;3;1;1;2;1;1;1;-;-;-;2;-;-;1;2;1;-;-;-;-;-;-;24
"430435 CANDIOTA";1;2;3;-;4;7;3;1;3;-;1;6;2;-;-;2;3;-;2;2;1;-;1;2;3;3;-;52
"430440 CANELA";7;8;7;9;5;8;6;12;21;9;10;7;6;14;4;10;4;7;5;4;4;7;5;8;7;3;5;202
"430450 CANGUCU";21;14;17;13;14;15;14;12;12;19;9;6;6;10;9;11;13;9;2;1;7;9;5;5;4;5;9;271
"430460 CANOAS";128;98;82;84;92;75;79;76;67;81;66;57;56;60;40;64;37;51;55;60;53;43;48;48;36;30;44;1710
"430461 CANUDOS DO VALE";-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;4
"430462 CAPAO BONITO DO SUL";-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;-;5
"430463 CAPAO DA CANOA";12;5;8;11;9;7;5;11;7;6;15;9;10;7;9;7;7;8;10;6;9;14;4;4;11;9;10;230
"430465 CAPAO DO CIPO";-;-;-;-;-;-;1;1;1;2;-;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;9
"430466 CAPAO DO LEAO";14;10;11;6;11;8;4;4;6;6;6;3;5;8;1;5;8;6;3;6;7;8;5;4;5;2;4;166
"430467 CAPIVARI DO SUL";-;2;2;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;1;-;-;-;-;1;1;10
"430468 CAPELA DE SANTANA";2;-;-;1;2;2;3;1;6;-;3;3;-;1;-;1;-;2;-;1;1;1;1;-;2;1;1;35
"430469 CAPITAO";-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;2;-;-;2;1;-;-;-;-;-;7
"430470 CARAZINHO";26;9;14;11;24;21;25;15;15;14;13;9;16;8;10;12;10;12;10;16;11;10;14;8;9;4;8;354
